"Tissue","Color"
"Ac.neural","#00429d"
"Nv.neuronal","#2a7fff"
"Nv.neuroglandular","#6baed6"
"Hv.neurons","#9ecae1"
"Ac.cnidocyte","#f7dc6f"
"Nv.cnidocyte","#f1c40f"
"Nv.mat.cnido","#ffd700"
"Hv.cnidocytes","#e6b800"
"Ac.gland.dig","#6a0dad"
"Ac.gland.muc","#8e44ad"
"Nv.gland.mucous","#a569bd"
"Hv.glands","#c39bd3"
"Hv.GC/SC","#d33682"
"Nv.pSC","#ff00ff"
"Nv.PGCs","#ff77ff"
"Ac.epidermis","#e67e22"
"Nv.epithelia.ect","#ff8c00"
"Hv.ectoderm","#ffa500"
"Nv.pharyngeal.ect","#f5b041"
"Nv.ectoderm.embryonic","#f8c471"
"Ac.gastrodermis","#1a9850"
"Nv.gastrodermis","#66c2a5"
"Nv.mesendoderm.embryonic","#2ecc71"
"Hv.endoderm","#a1d99b"
"Ac.muscle.st","#c0392b"
"Nv.retractor muscle","#e74c3c"
"Ac.unchar.1","#4d4d4d"
"Nv.unchar.immune","#999999"
"Hv.dubs","#d9d9d9"
